transcript,gene,classification,half-life
NONHSAT216756.1,NONHSAG099291.1,Intergenic,1.071742553
NONHSAT216757.1,NONHSAG049465.2,Intergenic,1.552725013
NONHSAT216758.1,NONHSAG049465.2,Intergenic,1.927587645
NONHSAT216759.1,NONHSAG049467.2,Intergenic,3.182061641
NONHSAT216760.1,NONHSAG049467.2,Intergenic,3.562503372
NONHSAT216761.1,NONHSAG049467.2,Intergenic,3.366154948
NONHSAT216765.1,NONHSAG099937.2,Intergenic,2.107501271
NONHSAT216766.1,NONHSAG049473.2,Intergenic,1.405482389
NONHSAT216767.1,NONHSAG099292.1,Intergenic,2.676513808
NONHSAT216768.1,NONHSAG099293.1,Intergenic,3.208735871
NONHSAT216789.1,NONHSAG049579.3,Intergenic,3.420420354
NONHSAT216844.1,NONHSAG049737.2,Intergenic,16.41018842
NONHSAT216849.1,NONHSAG049750.3,Intergenic,0.874428355
NONHSAT216866.1,NONHSAG049789.2,Intergenic,0.7128398
NONHSAT216885.1,NONHSAG049849.2,Intergenic,0.724131197
NONHSAT216891.1,NONHSAG099370.1,Intergenic,3.055387429
NONHSAT216917.1,NONHSAG099383.1,Intergenic,3.144552508
NONHSAT216938.1,NONHSAG099394.2,Intergenic,1.501461294
NONHSAT216939.1,NONHSAG099394.2,Intergenic,1.881687817
NONHSAT216942.1,NONHSAG099396.2,Intergenic,9.127284499
NONHSAT216965.1,NONHSAG099411.1,Intergenic,2.703494874
NONHSAT216967.1,NONHSAG099413.1,Intergenic,3.146512615
NONHSAT216968.1,NONHSAG099413.1,Intergenic,2.053034218
NONHSAT216969.1,NONHSAG050058.2,Intergenic,1.768484162
NONHSAT216974.1,NONHSAG099416.1,Intergenic,0.919693813
NONHSAT216983.1,NONHSAG050093.3,Intergenic,5.913096166
NONHSAT217009.1,NONHSAG050193.2,Intergenic,38.9977741
NONHSAT217020.1,NONHSAG099439.1,Intergenic,2.27005686
NONHSAT217088.1,NONHSAG099477.1,Intergenic,7.959856355
NONHSAT217121.1,NONHSAG099495.1,Intergenic,24.23437181
NONHSAT217123.1,NONHSAG099496.1,Intergenic,9.756392419
NONHSAT217220.1,NONHSAG050548.3,Intergenic,2.989867296
NONHSAT217222.1,NONHSAG050548.3,Intergenic,1.22195916
NONHSAT217279.1,NONHSAG099574.2,Intergenic,2.760141272
NONHSAT217282.1,NONHSAG099575.1,Intergenic,9.647273391
NONHSAT217323.1,NONHSAG099597.1,Intergenic,0.371525986
NONHSAT217325.1,NONHSAG099597.1,Intergenic,1.284084511
NONHSAT217326.1,NONHSAG099597.1,Intergenic,5.222090772
NONHSAT217327.1,NONHSAG099598.1,Intergenic,1.546167783
NONHSAT217342.1,NONHSAG050725.3,Intergenic,0.655256165
NONHSAT217360.1,NONHSAG050753.3,Intergenic,4.388617854
NONHSAT217371.1,NONHSAG100617.2,Intergenic,2.939046851
NONHSAT217449.1,NONHSAG099666.1,Intergenic,25.90329312
NONHSAT217473.1,NONHSAG099680.1,Intergenic,7.99332013
NONHSAT217544.1,NONHSAG051147.3,Intergenic,9.433636622
NONHSAT217569.1,NONHSAG099726.2,Intergenic,7.837320397
NONHSAT217598.1,NONHSAG099742.2,Intergenic,0.675103678
NONHSAT217599.1,NONHSAG099742.2,Intergenic,2.687967668
NONHSAT217605.1,NONHSAG099742.2,Intergenic,1.582540787
NONHSAT217606.1,NONHSAG099742.2,Intergenic,3.391386759
NONHSAT217607.1,NONHSAG099742.2,Intergenic,5.007602166
NONHSAT217609.1,NONHSAG099742.2,Intergenic,2.180344751
NONHSAT217617.1,NONHSAG051255.3,Intergenic,1.594988235
NONHSAT217625.1,NONHSAG099746.1,Intergenic,4.496990452
NONHSAT217682.1,NONHSAG099774.2,Intergenic,4.224996149
NONHSAT217739.1,NONHSAG099811.1,Intergenic,1.943132012
NONHSAT217741.1,NONHSAG051415.3,Intergenic,5.550201476
NONHSAT217745.1,NONHSAG051426.2,Intergenic,3.548465794
NONHSAT217760.1,NONHSAG101053.2,Intergenic,1.77196317
NONHSAT217763.1,NONHSAG099826.1,Intergenic,11.96392028
NONHSAT217782.1,NONHSAG051484.2,Intergenic,12.5069392
NONHSAT217790.1,NONHSAG099841.1,Intergenic,6.471985057
NONHSAT217798.1,NONHSAG099846.1,Intergenic,1.706804207
NONHSAT217808.1,NONHSAG099852.2,Intergenic,2.343340763
NONHSAT217809.1,NONHSAG051580.3,Intergenic,10.48282526
NONHSAT217896.1,NONHSAG099937.2,Intergenic,1.781212726
NONHSAT217908.1,NONHSAG099949.2,Intergenic,3.45290716
NONHSAT217923.1,NONHSAG099964.2,Intergenic,2.665674064
NONHSAT217931.1,NONHSAG099972.1,Intergenic,2.667208956
NONHSAT218024.1,NONHSAG100065.2,Intergenic,2.306486274
NONHSAT218038.1,NONHSAG100079.1,Intergenic,4.140128551
NONHSAT218172.1,NONHSAG100213.2,Intergenic,0.826499367
NONHSAT218209.1,NONHSAG100250.2,Intergenic,2.31772104
NONHSAT218576.1,NONHSAG100617.2,Intergenic,1.106893908
NONHSAT218605.1,NONHSAG100646.2,Intergenic,1.535367978
NONHSAT218615.1,NONHSAG100656.2,Intergenic,2.720404742
NONHSAT218633.1,NONHSAG100674.1,Intergenic,7.98580009
NONHSAT218759.1,NONHSAG100800.2,Intergenic,2.577268639
NONHSAT218848.1,NONHSAG100889.2,Intergenic,2.558801069
NONHSAT219064.1,NONHSAG101104.1,Intergenic,0.583296492
NONHSAT219167.1,NONHSAG051747.3,Intergenic,1.251271346
NONHSAT219168.1,NONHSAG051747.3,Intergenic,2.795448854
NONHSAT219263.1,NONHSAG101207.1,Intergenic,3.032625794
NONHSAT219304.1,NONHSAG101223.1,Intergenic,2.306694296
NONHSAT219315.1,NONHSAG101229.2,Intergenic,8.351477315
NONHSAT219317.1,NONHSAG101229.2,Intergenic,1.627567747
NONHSAT219375.1,NONHSAG051988.2,Intergenic,1.568539936
NONHSAT219377.1,NONHSAG051988.2,Intergenic,30.00154439
NONHSAT219380.1,NONHSAG101261.2,Intergenic,24.78147363
NONHSAT219381.1,NONHSAG101262.1,Intergenic,0.622611044
NONHSAT219383.1,NONHSAG101263.1,Intergenic,0.446690816
NONHSAT219384.1,NONHSAG101263.1,Intergenic,3.791424697
NONHSAT219400.1,NONHSAG101268.2,Intergenic,0.987026958
NONHSAT219411.1,NONHSAG101271.1,Intergenic,3.511806464
NONHSAT219412.1,NONHSAG101271.1,Intergenic,11.48148096
NONHSAT219415.1,NONHSAG101273.2,Intergenic,3.001087035
NONHSAT219451.1,NONHSAG052126.2,Intergenic,6.835407842
NONHSAT219481.1,NONHSAG101308.2,Intergenic,2.001297003
NONHSAT219501.1,NONHSAG101324.2,Intergenic,0.859286512
NONHSAT219512.1,NONHSAG052281.3,Intergenic,1.263374585
NONHSAT219517.1,NONHSAG052454.3,Intergenic,5.262216671
NONHSAT219520.1,NONHSAG101336.1,Intergenic,6.661967599
NONHSAT219522.1,NONHSAG101336.1,Intergenic,1.663629244
NONHSAT219523.1,NONHSAG052345.3,Intergenic,1.210643027
NONHSAT219547.1,NONHSAG052339.2,Intergenic,0.846050659
NONHSAT219550.1,NONHSAG052383.2,Intergenic,2.735544445
NONHSAT219551.1,NONHSAG052416.3,Intergenic,2.031949533
NONHSAT219644.1,NONHSAG101407.1,Intergenic,3.12697525
NONHSAT219691.1,NONHSAG101434.2,Intergenic,2.436306382
NONHSAT219714.1,NONHSAG101449.1,Intergenic,1.657373634
NONHSAT219744.1,NONHSAG052711.3,Intergenic,7.315721277
NONHSAT219753.1,NONHSAG101464.1,Intergenic,2.161506509
NONHSAT219754.1,NONHSAG101465.1,Intergenic,0.92932508
NONHSAT219770.1,NONHSAG101474.1,Intergenic,1.334063193
NONHSAT219841.1,NONHSAG101505.1,Intergenic,2.263635207
NONHSAT219842.1,NONHSAG101506.1,Intergenic,2.577828601
NONHSAT219845.1,NONHSAG101507.2,Intergenic,3.365706415
NONHSAT219892.1,NONHSAG053008.2,Intergenic,1.609410648
NONHSAT219893.1,NONHSAG053008.2,Intergenic,3.592888451
NONHSAT219905.1,NONHSAG053025.2,Intergenic,2.7534038
NONHSAT219994.1,NONHSAG053174.2,Intergenic,3.47628275
NONHSAT219996.1,NONHSAG101588.1,Intergenic,1.487480762
NONHSAT219998.1,NONHSAG101590.1,Intergenic,5.371871163
NONHSAT220019.1,NONHSAG101608.1,Intergenic,3.507784248
NONHSAT220028.1,NONHSAG101613.1,Intergenic,13.94414618
NONHSAT220039.1,NONHSAG101624.2,Intergenic,2.190167335
NONHSAT220058.1,NONHSAG101636.1,Intergenic,3.035595959
NONHSAT220059.1,NONHSAG101634.1,Intergenic,3.890371844
NONHSAT220067.1,NONHSAG053288.3,Intergenic,1.215237582
NONHSAT220115.1,NONHSAG053338.3,Intergenic,1.158686512
NONHSAT220117.1,NONHSAG053338.3,Intergenic,3.1078053
NONHSAT220121.1,NONHSAG101666.2,Intergenic,2.598597852
NONHSAT220128.1,NONHSAG053371.2,Intergenic,1.678404454
NONHSAT220130.1,NONHSAG101671.1,Intergenic,3.869461301
NONHSAT220183.1,NONHSAG101702.1,Intergenic,1.510609379
NONHSAT220187.1,NONHSAG053469.2,Intergenic,3.574030803
NONHSAT220210.1,NONHSAG101718.1,Intergenic,1.415952962
NONHSAT220216.1,NONHSAG101720.1,Intergenic,20.68415271
NONHSAT220252.1,NONHSAG053577.3,Intergenic,4.021097402
NONHSAT220253.1,NONHSAG053577.3,Intergenic,3.902399288
NONHSAT220259.1,NONHSAG053586.3,Intergenic,0.44556966
NONHSAT220262.1,NONHSAG053586.3,Intergenic,2.250676323
NONHSAT220263.1,NONHSAG053586.3,Intergenic,2.640741352
NONHSAT220295.1,NONHSAG101751.1,Intergenic,6.597165073
NONHSAT220372.1,NONHSAG053779.3,Intergenic,1.631693109
NONHSAT220378.1,NONHSAG053787.3,Intergenic,8.586664386
NONHSAT220383.1,NONHSAG103232.2,Intergenic,2.348787027
NONHSAT220387.1,NONHSAG101806.1,Intergenic,3.603033916
NONHSAT220391.1,NONHSAG101808.1,Intergenic,14.6973143
NONHSAT220468.1,NONHSAG101849.1,Intergenic,1.348489445
NONHSAT220473.1,NONHSAG101852.1,Intergenic,4.244423197
NONHSAT220519.1,NONHSAG101881.2,Intergenic,4.018890644
NONHSAT220622.1,NONHSAG101945.2,Intergenic,1.10083803
NONHSAT220623.1,NONHSAG101945.2,Intergenic,1.721329743
NONHSAT220630.1,NONHSAG052046.2,Intergenic,6.934585639
NONHSAT220693.1,NONHSAG101980.1,Intergenic,1.120130646
NONHSAT220699.1,NONHSAG101984.2,Intergenic,3.679440902
NONHSAT220708.1,NONHSAG101990.1,Intergenic,0.722316648
NONHSAT220710.1,NONHSAG101991.2,Intergenic,1.122083924
NONHSAT220730.1,NONHSAG052323.2,Intergenic,2.937846809
NONHSAT220737.1,NONHSAG052230.2,Intergenic,1.087062101
NONHSAT220752.1,NONHSAG102011.1,Intergenic,4.74218842
NONHSAT220838.1,NONHSAG052566.2,Intergenic,5.89308533
NONHSAT220904.1,NONHSAG102086.1,Intergenic,19.30243599
NONHSAT220927.1,NONHSAG102100.1,Intergenic,1.428902244
NONHSAT220941.1,NONHSAG052731.3,Intergenic,1.831874871
NONHSAT220963.1,NONHSAG102114.2,Intergenic,0.281880362
NONHSAT220987.1,NONHSAG102127.2,Intergenic,6.316275147
NONHSAT220988.1,NONHSAG102127.2,Intergenic,1.33369159
NONHSAT221008.1,NONHSAG102135.1,Intergenic,1.92277967
NONHSAT221060.1,NONHSAG102164.1,Intergenic,4.196894279
NONHSAT221061.1,NONHSAG052985.3,Intergenic,1.187187157
NONHSAT221073.1,NONHSAG102168.2,Intergenic,0.900547374
NONHSAT221136.1,NONHSAG102198.1,Intergenic,3.160857124
NONHSAT221181.1,NONHSAG053195.2,Intergenic,2.923714561
NONHSAT221212.1,NONHSAG053257.3,Intergenic,2.795560211
NONHSAT221215.1,NONHSAG102241.1,Intergenic,3.822602972
NONHSAT221258.1,NONHSAG102272.2,Intergenic,1.521828284
NONHSAT221361.1,NONHSAG102336.1,Intergenic,5.491556433
NONHSAT221362.1,NONHSAG102337.1,Intergenic,6.911289175
NONHSAT221375.1,NONHSAG053552.2,Intergenic,0.441085397
NONHSAT221384.1,NONHSAG102351.2,Intergenic,5.570955718
NONHSAT221415.1,NONHSAG053677.2,Intergenic,3.699467518
NONHSAT221429.1,NONHSAG053721.3,Intergenic,2.381200227
NONHSAT221430.1,NONHSAG053721.3,Intergenic,2.446032693
NONHSAT221466.1,NONHSAG102402.1,Intergenic,3.581221316
NONHSAT221468.1,NONHSAG103227.2,Intergenic,2.021554528
NONHSAT221485.1,NONHSAG102413.2,Intergenic,4.307949196
NONHSAT221492.1,NONHSAG102415.1,Intergenic,5.136847211
NONHSAT221506.1,NONHSAG053848.2,Intergenic,0.832501477
NONHSAT221507.1,NONHSAG053848.2,Intergenic,1.063798399
NONHSAT221508.1,NONHSAG053848.2,Intergenic,2.388958527
NONHSAT221523.1,NONHSAG053878.2,Intergenic,1.290800268
NONHSAT221549.1,NONHSAG102453.2,Intergenic,3.21107384
NONHSAT221552.1,NONHSAG102453.2,Intergenic,4.163104817
NONHSAT221611.1,NONHSAG102512.1,Intergenic,2.117514062
NONHSAT221671.1,NONHSAG102572.2,Intergenic,4.33764013
NONHSAT221680.1,NONHSAG102581.1,Intergenic,3.727105428
NONHSAT221684.1,NONHSAG102585.1,Intergenic,2.666686543
NONHSAT221713.1,NONHSAG102614.1,Intergenic,2.055402886
NONHSAT221793.1,NONHSAG102694.1,Intergenic,0.96573488
NONHSAT221850.1,NONHSAG102751.2,Intergenic,3.930889853
NONHSAT221898.1,NONHSAG102799.2,Intergenic,3.086126876
NONHSAT221902.1,NONHSAG102803.1,Intergenic,8.085018692
NONHSAT221949.1,NONHSAG102850.2,Intergenic,1.298111719
NONHSAT222054.1,NONHSAG102955.1,Intergenic,2.382981979
NONHSAT222070.1,NONHSAG102971.2,Intergenic,1.781479973
NONHSAT222179.1,NONHSAG103080.1,Intergenic,14.49343891
NONHSAT222267.1,NONHSAG103168.2,Intergenic,1.35587572
NONHSAT222271.1,NONHSAG103172.2,Intergenic,1.168279275
NONHSAT222326.1,NONHSAG103227.2,Intergenic,2.30005976
NONHSAT222331.1,NONHSAG103232.2,Intergenic,2.846106964
NONHSAT222345.1,NONHSAG103246.1,Intergenic,2.014386762
NONHSAT222346.1,NONHSAG103247.2,Intergenic,4.179210814
NONHSAT222350.1,NONHSAG053892.2,Intergenic,1.826388177
NONHSAT222351.1,NONHSAG053892.2,Intergenic,4.544414609
NONHSAT222352.1,NONHSAG053892.2,Intergenic,2.501256129
NONHSAT222355.1,NONHSAG103251.1,Intergenic,2.759196757
NONHSAT222357.1,NONHSAG053892.2,Intergenic,0.583857647
NONHSAT222361.1,NONHSAG053892.2,Intergenic,3.628250322
NONHSAT222380.1,NONHSAG103252.1,Intergenic,4.63650057
NONHSAT222398.1,NONHSAG103252.1,Intergenic,6.079918613
NONHSAT222406.1,NONHSAG103252.1,Intergenic,2.75014934
NONHSAT222409.1,NONHSAG103252.1,Intergenic,2.117118095
NONHSAT222415.1,NONHSAG103252.1,Intergenic,1.254162892
NONHSAT222422.1,NONHSAG103252.1,Intergenic,3.447172733
NONHSAT222428.1,NONHSAG103252.1,Intergenic,0.918260937
NONHSAT222438.1,NONHSAG103252.1,Intergenic,1.957380449
NONHSAT222439.1,NONHSAG103252.1,Intergenic,2.123913261
NONHSAT222440.1,NONHSAG103253.1,Intergenic,10.64974194
NONHSAT222442.1,NONHSAG002635.3,Intergenic,0.657848737
NONHSAT222460.1,NONHSAG053927.2,Intergenic,0.263959787
NONHSAT222461.1,NONHSAG053928.2,Intergenic,9.307456234
NONHSAT222464.1,NONHSAG056035.3,Intergenic,2.199624853
NONHSAT222465.1,NONHSAG056035.3,Intergenic,3.850188158
NONHSAT222529.1,NONHSAG054079.2,Intergenic,4.973063389
NONHSAT222559.1,NONHSAG054140.2,Intergenic,4.90813647
NONHSAT222583.1,NONHSAG103328.1,Intergenic,2.931590895
NONHSAT222614.1,NONHSAG054238.2,Intergenic,12.98602131
NONHSAT222652.1,NONHSAG054297.2,Intergenic,1.638765633
NONHSAT222662.1,NONHSAG054322.2,Intergenic,2.349808239
NONHSAT222676.1,NONHSAG103385.1,Intergenic,2.944306485
NONHSAT222723.1,NONHSAG103418.1,Intergenic,3.815085792
NONHSAT222738.1,NONHSAG103427.1,Intergenic,1.840392439
NONHSAT222786.1,NONHSAG103457.1,Intergenic,1.678577617
NONHSAT222787.1,NONHSAG103458.1,Intergenic,3.427403807
NONHSAT222793.1,NONHSAG054791.3,Intergenic,2.291488079
NONHSAT222809.1,NONHSAG103472.2,Intergenic,2.458711404
NONHSAT222861.1,NONHSAG055009.2,Intergenic,4.393103801
NONHSAT222863.1,NONHSAG103504.1,Intergenic,1.86677812
NONHSAT222865.1,NONHSAG103505.1,Intergenic,2.544691343
NONHSAT222871.1,NONHSAG055030.3,Intergenic,2.435170137
NONHSAT222872.1,NONHSAG055030.3,Intergenic,1.87275745
NONHSAT222873.1,NONHSAG055030.3,Intergenic,2.187630121
NONHSAT222876.1,NONHSAG055030.3,Intergenic,1.588071734
NONHSAT222881.1,NONHSAG055030.3,Intergenic,4.142699448
NONHSAT222955.1,NONHSAG104440.2,Intergenic,1.876709803
NONHSAT222966.1,NONHSAG103554.1,Intergenic,1.327852131
NONHSAT222967.1,NONHSAG103555.1,Intergenic,4.830495833
NONHSAT223024.1,NONHSAG103584.1,Intergenic,4.459427082
NONHSAT223030.1,NONHSAG103587.1,Intergenic,16.82023935
NONHSAT223057.1,NONHSAG103600.1,Intergenic,2.687962134
NONHSAT223076.1,NONHSAG103610.1,Intergenic,3.520238288
NONHSAT223108.1,NONHSAG055499.3,Intergenic,0.950179809
NONHSAT223114.1,NONHSAG103636.2,Intergenic,3.0027114
NONHSAT223153.1,NONHSAG103660.1,Intergenic,2.749351851
NONHSAT223155.1,NONHSAG053956.3,Intergenic,13.1143293
NONHSAT223156.1,NONHSAG053956.3,Intergenic,2.451753473
NONHSAT223157.1,NONHSAG053956.3,Intergenic,5.868192628
NONHSAT223159.1,NONHSAG053958.3,Intergenic,5.124964288
NONHSAT223180.1,NONHSAG103671.1,Intergenic,2.768349352
NONHSAT223186.1,NONHSAG103675.2,Intergenic,4.431972285
NONHSAT223188.1,NONHSAG103675.2,Intergenic,1.814108939
NONHSAT223190.1,NONHSAG103675.2,Intergenic,1.238902366
NONHSAT223193.1,NONHSAG103678.2,Intergenic,3.864327994
NONHSAT223210.1,NONHSAG103690.1,Intergenic,1.706669466
NONHSAT223224.1,NONHSAG054126.2,Intergenic,7.284816409
NONHSAT223237.1,NONHSAG103705.1,Intergenic,4.448967778
NONHSAT223250.1,NONHSAG103717.2,Intergenic,3.403923808
NONHSAT223260.1,NONHSAG104077.2,Intergenic,4.307721525
NONHSAT223302.1,NONHSAG104186.2,Intergenic,2.554379185
NONHSAT223326.1,NONHSAG103763.2,Intergenic,1.79334716
NONHSAT223363.1,NONHSAG103789.1,Intergenic,3.214141096
NONHSAT223364.1,NONHSAG103789.1,Intergenic,1.712391981
NONHSAT223369.1,NONHSAG054635.3,Intergenic,0.529377899
NONHSAT223420.1,NONHSAG103817.2,Intergenic,6.399081952
NONHSAT223421.1,NONHSAG103817.2,Intergenic,5.380723048
NONHSAT223422.1,NONHSAG103817.2,Intergenic,4.775914019
NONHSAT223427.1,NONHSAG103817.2,Intergenic,1.378049283
NONHSAT223428.1,NONHSAG054820.2,Intergenic,5.828034809
NONHSAT223451.1,NONHSAG103827.2,Intergenic,3.064082507
NONHSAT223458.1,NONHSAG103831.1,Intergenic,1.735232071
NONHSAT223460.1,NONHSAG104337.2,Intergenic,2.260115141
NONHSAT223461.1,NONHSAG104337.2,Intergenic,2.289709903
NONHSAT223463.1,NONHSAG104337.2,Intergenic,5.094932708
NONHSAT223476.1,NONHSAG055036.3,Intergenic,1.764278287
NONHSAT223479.1,NONHSAG103838.1,Intergenic,4.558055525
NONHSAT223484.1,NONHSAG055050.3,Intergenic,0.239037892
NONHSAT223523.1,NONHSAG103865.1,Intergenic,4.421774115
NONHSAT223538.1,NONHSAG055204.2,Intergenic,7.018047894
NONHSAT223547.1,NONHSAG055211.3,Intergenic,2.406412902
NONHSAT223548.1,NONHSAG055211.3,Intergenic,3.035546286
NONHSAT223549.1,NONHSAG055211.3,Intergenic,6.252579837
NONHSAT223574.1,NONHSAG055315.3,Intergenic,0.842884323
NONHSAT223593.1,NONHSAG055405.2,Intergenic,1.772038216
NONHSAT223618.1,NONHSAG055493.3,Intergenic,2.815174745
NONHSAT223620.1,NONHSAG055492.3,Intergenic,7.505492409
NONHSAT223622.1,NONHSAG055492.3,Intergenic,1.089051189
NONHSAT223624.1,NONHSAG055492.3,Intergenic,2.430662772
NONHSAT223649.1,NONHSAG103938.1,Intergenic,3.765137297
NONHSAT223737.1,NONHSAG104019.2,Intergenic,2.189598095
NONHSAT223761.1,NONHSAG104043.1,Intergenic,6.343158267
NONHSAT223844.1,NONHSAG104126.2,Intergenic,1.45836822
NONHSAT223900.1,NONHSAG104186.2,Intergenic,2.825746953
NONHSAT223901.1,NONHSAG104186.2,Intergenic,9.124546029
NONHSAT223902.1,NONHSAG104186.2,Intergenic,1.634350774
NONHSAT223903.1,NONHSAG104186.2,Intergenic,2.68671766
NONHSAT223904.1,NONHSAG104186.2,Intergenic,2.029258439
NONHSAT223914.1,NONHSAG104196.2,Intergenic,4.028194196
NONHSAT223933.1,NONHSAG104218.2,Intergenic,1.258938366
NONHSAT223934.1,NONHSAG104218.2,Intergenic,1.251564644
NONHSAT223936.1,NONHSAG104218.2,Intergenic,4.267863876
NONHSAT223985.1,NONHSAG104267.2,Intergenic,2.106664966
NONHSAT224053.1,NONHSAG104337.2,Intergenic,3.42861142
NONHSAT224055.1,NONHSAG104337.2,Intergenic,2.816898068
NONHSAT224084.1,NONHSAG104366.1,Intergenic,3.614896225
NONHSAT224169.1,NONHSAG104451.2,Intergenic,1.481902649
NONHSAT224310.1,NONHSAG104592.2,Intergenic,1.556784307
NONHSAT224327.1,NONHSAG055641.2,Intergenic,3.265279495
NONHSAT224329.1,NONHSAG104608.1,Intergenic,5.279546582
NONHSAT224330.1,NONHSAG104608.1,Intergenic,2.40339086
NONHSAT224361.1,NONHSAG055784.2,Intergenic,1.077560882
NONHSAT224365.1,NONHSAG104627.1,Intergenic,4.85265231
NONHSAT224421.1,NONHSAG055860.3,Intergenic,2.669779759
NONHSAT224422.1,NONHSAG055860.3,Intergenic,2.650022043
NONHSAT224423.1,NONHSAG055860.3,Intergenic,4.495533828
NONHSAT224424.1,NONHSAG055860.3,Intergenic,1.034480496
NONHSAT224532.1,NONHSAG000036.3,Intergenic,2.684952142
NONHSAT224534.1,NONHSAG000044.3,Intergenic,3.639692059
NONHSAT224536.1,NONHSAG000044.3,Intergenic,4.600030687
NONHSAT224540.1,NONHSAG000047.3,Intergenic,1.818809438
NONHSAT224541.1,NONHSAG000047.3,Intergenic,1.114284477
NONHSAT224544.1,NONHSAG056044.2,Intergenic,5.282213822
NONHSAT224547.1,NONHSAG056044.2,Intergenic,3.707838597
NONHSAT224548.1,NONHSAG056044.2,Intergenic,7.557665996
NONHSAT224550.1,NONHSAG104758.1,Intergenic,14.90479844
NONHSAT224552.1,NONHSAG056045.2,Intergenic,3.329120954
NONHSAT224553.1,NONHSAG104759.1,Intergenic,3.076973729
NONHSAT224554.1,NONHSAG104760.1,Intergenic,2.102726451
NONHSAT224576.1,NONHSAG104771.1,Intergenic,2.542950835
NONHSAT224577.1,NONHSAG000104.3,Intergenic,0.914252249
NONHSAT224578.1,NONHSAG000104.3,Intergenic,1.485106285
NONHSAT224592.1,NONHSAG104775.1,Intergenic,3.962890743
NONHSAT224593.1,NONHSAG000130.3,Intergenic,0.993744827
NONHSAT224597.1,NONHSAG000130.3,Intergenic,0.66130713
NONHSAT224598.1,NONHSAG000130.3,Intergenic,1.664206936
NONHSAT224600.1,NONHSAG000130.3,Intergenic,1.151628454
NONHSAT224601.1,NONHSAG104776.1,Intergenic,6.961626326
NONHSAT224608.1,NONHSAG000147.3,Intergenic,1.751728444
NONHSAT224618.1,NONHSAG000199.3,Intergenic,1.036044107
NONHSAT224621.1,NONHSAG000199.3,Intergenic,2.538971298
NONHSAT224638.1,NONHSAG000235.3,Intergenic,3.573547886
NONHSAT224639.1,NONHSAG000235.3,Intergenic,2.4680267
NONHSAT224640.1,NONHSAG000235.3,Intergenic,1.689250458
NONHSAT224652.1,NONHSAG056106.2,Intergenic,5.229477133
NONHSAT224654.1,NONHSAG056106.2,Intergenic,3.400944137
NONHSAT224671.1,NONHSAG000302.3,Intergenic,2.392993339
NONHSAT224674.1,NONHSAG000311.3,Intergenic,1.291221333
NONHSAT224676.1,NONHSAG000311.3,Intergenic,4.929772982
NONHSAT224678.1,NONHSAG000311.3,Intergenic,1.642581396
NONHSAT224682.1,NONHSAG000355.3,Intergenic,1.722202893
NONHSAT224688.1,NONHSAG104794.1,Intergenic,4.354474756
NONHSAT224690.1,NONHSAG104796.1,Intergenic,1.65814443
NONHSAT224697.1,NONHSAG104803.1,Intergenic,1.885700295
NONHSAT224698.1,NONHSAG104804.1,Intergenic,3.980489132
NONHSAT224706.1,NONHSAG104809.1,Intergenic,16.83581776
NONHSAT224707.1,NONHSAG104810.1,Intergenic,3.280606494
NONHSAT224712.1,NONHSAG000464.3,Intergenic,0.824611282
NONHSAT224713.1,NONHSAG000464.3,Intergenic,0.624180409
NONHSAT224716.1,NONHSAG000464.3,Intergenic,1.417231563
NONHSAT224717.1,NONHSAG000464.3,Intergenic,2.749467163
NONHSAT224722.1,NONHSAG104813.1,Intergenic,4.477108651
NONHSAT224723.1,NONHSAG104814.1,Intergenic,3.327441528
NONHSAT224725.1,NONHSAG000480.3,Intergenic,2.245592507
NONHSAT224728.1,NONHSAG000485.3,Intergenic,3.146316935
NONHSAT224730.1,NONHSAG104817.1,Intergenic,4.427616929
NONHSAT224731.1,NONHSAG000477.3,Intergenic,0.843125805
NONHSAT224732.1,NONHSAG000498.3,Intergenic,0.849053299
NONHSAT224735.1,NONHSAG000510.3,Intergenic,2.487052158
NONHSAT224742.1,NONHSAG000510.3,Intergenic,4.903921091
NONHSAT224743.1,NONHSAG000514.3,Intergenic,4.518538444
NONHSAT224750.1,NONHSAG104821.1,Intergenic,2.742252029
NONHSAT224753.1,NONHSAG000549.3,Intergenic,4.667057683
NONHSAT224754.1,NONHSAG000549.3,Intergenic,1.721458556
NONHSAT224756.1,NONHSAG000573.3,Intergenic,3.959333811
NONHSAT224757.1,NONHSAG104824.1,Intergenic,5.751531684
NONHSAT224766.1,NONHSAG104826.1,Intergenic,3.475166921
NONHSAT224768.1,NONHSAG104826.1,Intergenic,46.53226358
NONHSAT224770.1,NONHSAG104827.1,Intergenic,2.926331515
NONHSAT224772.1,NONHSAG104828.1,Intergenic,3.090503686
NONHSAT224774.1,NONHSAG000626.3,Intergenic,0.963645192
NONHSAT224777.1,NONHSAG000626.3,Intergenic,0.613963718
NONHSAT224780.1,NONHSAG000626.3,Intergenic,2.056163332
NONHSAT224782.1,NONHSAG104829.1,Intergenic,2.34213864
NONHSAT224795.1,NONHSAG104833.1,Intergenic,1.910908624
NONHSAT224797.1,NONHSAG104835.1,Intergenic,1.623069474
NONHSAT224798.1,NONHSAG104836.1,Intergenic,1.937955003
NONHSAT224800.1,NONHSAG104838.1,Intergenic,2.36570959
NONHSAT224820.1,NONHSAG000717.3,Intergenic,4.247226815
NONHSAT224827.1,NONHSAG000745.3,Intergenic,1.952222872
NONHSAT224829.1,NONHSAG104848.1,Intergenic,3.431523112
