miRNA,have_motif,have_mean,no_motif,no_mean,D,p,fdr
hsa-miR-23c,93,6.455764838,23798,6.383034034,0.088338498,0.464946345,1
hsa-miR-24-1-5p,356,6.198508127,23535,6.386112649,0.035064439,0.781646177,1
hsa-miR-24-2-5p,308,6.143511053,23583,6.386449081,0.042400535,0.645176074,1
hsa-miR-24-3p,1679,5.9385913,22212,6.416933878,0.049496878,0.000953293,1
hsa-miR-2467-3p,3545,5.990109086,20346,6.451828043,0.02701189,0.024418544,1
hsa-miR-2467-5p,1658,6.217504787,22233,6.395682416,0.02108267,0.49912195,1
hsa-miR-25-3p,739,6.230637602,23152,6.388190605,0.017425115,0.981533042,1
hsa-miR-25-5p,893,6.029721379,22998,6.397047086,0.028031796,0.509000338,1
hsa-miR-2681-3p,153,6.343614992,23738,6.383573047,0.047384657,0.884442255,1
hsa-miR-2681-5p,135,7.484854548,23756,6.377057363,0.079989461,0.356859525,1
hsa-miR-2682-3p,586,5.348804422,23305,6.409329787,0.081172433,0.001070418,1
hsa-miR-2682-5p,1223,6.174673996,22668,6.394574016,0.022441901,0.602864719,1
hsa-miR-26a-1-3p,72,5.660194211,23819,6.385503006,0.052554333,0.988830462,1
hsa-miR-26a-2-3p,29,5.350517701,23862,6.384572335,0.097524848,0.945780116,1
hsa-miR-26a-5p,138,6.681843912,23753,6.381582774,0.076270762,0.401928244,1
hsa-miR-26b-3p,398,5.994627568,23493,6.389902027,0.061949491,0.099169495,1
hsa-miR-26b-5p,74,5.573407064,23817,6.385833563,0.105314283,0.38649144,1
hsa-miR-27a-3p,512,5.934801679,23379,6.393139639,0.037075875,0.496358727,1
hsa-miR-27a-5p,294,6.275839654,23597,6.384656237,0.064215185,0.182237498,1
hsa-miR-27b-3p,524,5.779808135,23367,6.396850713,0.044992416,0.250627213,1
hsa-miR-27b-5p,108,5.109703239,23783,6.389100708,0.107527007,0.166369447,1
hsa-miR-28-3p,145,5.741603599,23746,6.387235642,0.069801084,0.483787276,1
hsa-miR-28-5p,541,6.17188317,23350,6.388215901,0.028511639,0.78326901,1
hsa-miR-2861,3140,6.132467227,20751,6.421275263,0.02625873,0.046516949,1
hsa-miR-2909,197,5.327573247,23694,6.392094967,0.089959591,0.084654966,1
hsa-miR-296-3p,1249,5.968085632,22642,6.406222557,0.026101616,0.395465131,1
hsa-miR-297,321,6.188825231,23570,6.385965939,0.03175918,0.906771313,1
hsa-miR-298,2664,6.236605238,21227,6.401729577,0.021894339,0.206551049,1
hsa-miR-299-3p,412,6.239266612,23479,6.385844893,0.035796396,0.677238103,1
hsa-miR-299-5p,47,6.371809833,23844,6.383339835,0.228678788,0.014804594,1
hsa-miR-29a-3p,660,5.639410505,23231,6.404451773,0.059660224,0.020746199,1
hsa-miR-29a-5p,177,6.032243086,23714,6.38593755,0.043936238,0.88673748,1
hsa-miR-29b-1-5p,604,6.470735941,23287,6.381049752,0.030080166,0.661126099,1
hsa-miR-29b-2-5p,455,6.356035044,23436,6.383846823,0.035251487,0.636018873,1
hsa-miR-29b-3p,538,6.153749635,23353,6.388605866,0.061757188,0.036215945,1
hsa-miR-29c-3p,443,5.623801266,23448,6.397666587,0.099204483,0.00038404,1
hsa-miR-29c-5p,47,6.152401197,23844,6.383772321,0.109705104,0.624877731,1
hsa-miR-300,146,5.852397409,23745,6.386581599,0.089678,0.193646943,1
hsa-miR-301a-3p,199,5.97215031,23692,6.386770731,0.080513152,0.154770897,1
hsa-miR-301a-5p,333,6.588962552,23558,6.380410287,0.047790171,0.441359331,1
hsa-miR-301b-3p,223,6.41533843,23668,6.383015448,0.045990651,0.73837726,1
hsa-miR-301b-5p,650,6.28239779,23241,6.386139646,0.025407817,0.808981053,1
hsa-miR-302a-3p,318,6.66697107,23573,6.379490658,0.040936131,0.669110876,1
hsa-miR-302a-5p,50,6.582333902,23841,6.382899769,0.125562686,0.411025675,1
hsa-miR-302b-3p,172,5.891529449,23719,6.386883385,0.060610814,0.55715152,1
hsa-miR-302b-5p,26,8.093474255,23865,6.381454002,0.261756032,0.056935173,1
hsa-miR-302c-3p,441,6.127552743,23450,6.38812705,0.028958608,0.860966032,1
hsa-miR-302c-5p,167,6.866291204,23724,6.37991736,0.046945058,0.858214993,1
hsa-miR-302d-3p,269,6.560879297,23622,6.38129513,0.068480677,0.164966332,1
hsa-miR-302d-5p,81,8.078351736,23810,6.37755076,0.17678639,0.012871463,1
hsa-miR-302e,48,5.978565747,23843,6.384131985,0.097098729,0.757126679,1
hsa-miR-302f,0,NaN,23891,6.383317152,0,1,1
hsa-miR-3059-3p,853,6.294960736,23038,6.386588618,0.027214988,0.576125209,1
hsa-miR-3059-5p,1711,5.958253646,22180,6.416107218,0.041542025,0.008317429,1
hsa-miR-3064-3p,572,6.216202296,23319,6.387416372,0.057073496,0.052649453,1
hsa-miR-3064-5p,2304,5.986132847,21587,6.425708992,0.031025838,0.036342608,1
hsa-miR-3065-3p,1970,5.882079342,21921,6.428362473,0.039260362,0.007603807,1
hsa-miR-3065-5p,155,6.667631802,23736,6.381460531,0.052353034,0.792520461,1
hsa-miR-3074-3p,89,6.831485981,23802,6.381641368,0.162711282,0.018281946,1
hsa-miR-3074-5p,889,5.793112697,23002,6.406127854,0.060456229,0.003835138,1
hsa-miR-3085-5p,1767,5.874622163,22124,6.423945612,0.034025409,0.045244586,1
hsa-miR-30a-3p,265,6.033065005,23626,6.38724574,0.043368115,0.707810742,1
hsa-miR-30a-5p,86,5.573429196,23805,6.386243023,0.061495289,0.902190416,1
hsa-miR-30b-3p,2957,6.224539089,20934,6.405745103,0.015657451,0.549039144,1
hsa-miR-30b-5p,88,5.424078835,23803,6.386863469,0.097965593,0.369290503,1
hsa-miR-30c-1-3p,1957,5.936273156,21934,6.423203406,0.032529814,0.044630009,1
hsa-miR-30c-2-3p,1521,6.096270556,22370,6.402834268,0.024507175,0.359345999,1
hsa-miR-30c-5p,108,5.756019563,23783,6.386165747,0.066629837,0.726374506,1
hsa-miR-30d-3p,170,5.853463257,23721,6.387114427,0.078351771,0.251262441,1
hsa-miR-30d-5p,134,5.145467112,23757,6.390299175,0.082901882,0.319025713,1
hsa-miR-30e-3p,184,5.294875978,23707,6.391765002,0.097281623,0.063120546,1
hsa-miR-30e-5p,66,5.142035798,23825,6.386755749,0.107393558,0.43360605,1
hsa-miR-3115,29,3.788085096,23862,6.386471193,0.229626386,0.09428007,1
hsa-miR-3116,1495,5.900684961,22396,6.415534295,0.045843919,0.00552979,1
hsa-miR-3117-3p,109,5.616406988,23782,6.38683213,0.098836218,0.239686613,1
hsa-miR-3117-5p,42,4.702614533,23849,6.386277004,0.129453366,0.483393828,1
hsa-miR-3118,100,4.966433533,23791,6.389272697,0.156742886,0.014996286,1
hsa-miR-3119,42,4.66696654,23849,6.386339783,0.137021818,0.410615366,1
hsa-miR-3120-3p,870,6.07003956,23021,6.395156408,0.033706855,0.296711495,1
hsa-miR-3120-5p,855,5.973847261,23036,6.398514962,0.042229605,0.105676104,1
hsa-miR-3121-3p,75,5.178790306,23816,6.38711038,0.123968201,0.200719317,1
hsa-miR-3121-5p,173,6.824978479,23718,6.380095658,0.042150373,0.920395598,1
hsa-miR-3122,568,5.924537494,23323,6.394490108,0.037788893,0.40690873,1
hsa-miR-3123,18,7.781003642,23873,6.382263311,0.372866604,0.0134585,1
hsa-miR-3124-3p,572,5.808631082,23319,6.39741383,0.051685246,0.10128105,1
hsa-miR-3124-5p,84,6.175008585,23807,6.384052143,0.088618894,0.526712926,1
hsa-miR-3125,1263,5.956346635,22628,6.407148855,0.040106946,0.042625632,1
hsa-miR-3126-3p,378,6.035365282,23513,6.388910901,0.043329852,0.487237613,1
hsa-miR-3126-5p,1171,5.969128276,22720,6.404664651,0.029499059,0.287120726,1
hsa-miR-3127-5p,1635,5.752823042,22256,6.429635353,0.041943594,0.009410281,1
hsa-miR-3128,317,6.677653186,23574,6.37935921,0.052827408,0.347147403,1
hsa-miR-3129-3p,11,4.792806641,23880,6.384049799,0.173857926,0.893800301,1
hsa-miR-3129-5p,275,6.189426296,23616,6.385574943,0.031407674,0.951381775,1
hsa-miR-3130-3p,1441,5.97554278,22450,6.409490999,0.028696664,0.214752173,1
hsa-miR-3130-5p,1072,5.483890611,22819,6.425570768,0.064446982,0.000404765,1
hsa-miR-3131,464,5.663002726,23427,6.397583848,0.056290781,0.111868876,1
hsa-miR-3132,1134,6.077135868,22757,6.398574417,0.047115607,0.016530174,1
hsa-miR-3133,24,5.906673027,23867,6.383796452,0.171622952,0.480088039,1
hsa-miR-3134,17,5.715890776,23874,6.383792408,0.153492108,0.8183492,1
hsa-miR-3135a,858,6.374680382,23033,6.38363888,0.018219628,0.946481423,1
hsa-miR-3135b,4174,6.073354481,19717,6.448934852,0.031072437,0.002583374,1
hsa-miR-3136-3p,523,5.729623296,23368,6.397947496,0.077104429,0.004565219,1
hsa-miR-3136-5p,489,6.802949159,23402,6.374548669,0.074544692,0.009752071,1
hsa-miR-3137,887,6.222787252,23004,6.389506946,0.030586122,0.401262957,1
hsa-miR-3138,1404,6.136272859,22487,6.398741628,0.036804677,0.05574224,1
hsa-miR-3139,1018,5.901188318,22873,6.404775079,0.043224323,0.052406296,1
hsa-miR-31-3p,104,6.71774858,23787,6.381854972,0.076765832,0.575084871,1
hsa-miR-3140-3p,164,6.982357484,23727,6.379176611,0.06284263,0.540873469,1
hsa-miR-3140-5p,30,7.486966089,23861,6.381929554,0.105981867,0.889458469,1
hsa-miR-3141,974,5.414282462,22917,6.424502289,0.063803321,0.000994173,1
hsa-miR-3142,515,5.658901897,23376,6.399276848,0.064666856,0.02956204,1
hsa-miR-3143,33,8.237961987,23858,6.380751837,0.166753036,0.318666739,1
hsa-miR-3144-3p,79,6.110767368,23812,6.384221378,0.089526715,0.553257026,1
hsa-miR-3144-5p,758,5.943119498,23133,6.397741127,0.036278457,0.288877905,1
hsa-miR-3145-3p,31,7.697044907,23860,6.381610297,0.094751643,0.943833377,1
hsa-miR-3145-5p,47,5.632039918,23844,6.384798029,0.090288114,0.83905783,1
hsa-miR-3146,123,7.635674968,23768,6.376836169,0.120977375,0.055649753,1
hsa-miR-3147,832,6.218673404,23059,6.389257722,0.028514907,0.531107051,1
hsa-miR-3148,182,6.51869475,23709,6.382277938,0.04055422,0.927731648,1
hsa-miR-3149,79,6.278602325,23812,6.38366456,0.089720745,0.550442162,1
hsa-miR-3150a-3p,3095,5.979737831,20796,6.44338053,0.030304091,0.014193725,1
hsa-miR-3150a-5p,103,6.81951752,23788,6.381428442,0.090326607,0.372712303,1
hsa-miR-3150b-3p,1408,5.84714803,22483,6.416894794,0.047692,0.0048226,1
hsa-miR-3150b-5p,139,5.699975342,23752,6.387316163,0.075946047,0.40277583,1
hsa-miR-3151-3p,469,5.919521454,23422,6.392604155,0.046785329,0.26657687,1
hsa-miR-3151-5p,2569,5.994445442,21322,6.430170704,0.035789747,0.005625412,1
hsa-miR-3152-3p,108,6.041052818,23783,6.384871395,0.061857131,0.805226473,1
hsa-miR-3152-5p,141,6.025463713,23750,6.385441672,0.07758925,0.367573966,1
hsa-miR-3153,2019,6.162430529,21872,6.403707153,0.026088253,0.161479144,1
hsa-miR-3154,2704,6.098007168,21187,6.419729962,0.033733337,0.00852876,1
hsa-miR-3156-3p,870,6.158954741,23021,6.391796162,0.02317664,0.758727754,1
hsa-miR-3156-5p,301,6.044267039,23590,6.387643311,0.055737058,0.314314783,1
hsa-miR-3157-3p,602,6.416898963,23289,6.382449092,0.039340861,0.323809198,1
hsa-miR-3157-5p,1447,6.007097295,22444,6.407572638,0.039670355,0.02772542,1
hsa-miR-3158-3p,850,5.659933395,23041,6.410003329,0.051529473,0.025726276,1
hsa-miR-3158-5p,1460,6.043212368,22431,6.40545406,0.026318579,0.298456922,1
hsa-miR-3159,331,6.545716901,23560,6.38103556,0.041506676,0.627338089,1
hsa-miR-31-5p,533,6.363273311,23358,6.383774527,0.031665132,0.672944359,1
hsa-miR-3160-3p,709,6.424826049,23182,6.382047641,0.02861888,0.626082937,1
hsa-miR-3160-5p,495,5.471354504,23396,6.402611968,0.065602857,0.030829718,1
hsa-miR-3161,168,6.21113898,23723,6.384536472,0.084928129,0.180136581,1
hsa-miR-3162-3p,877,6.204010264,23014,6.390150043,0.024905667,0.671173236,1
hsa-miR-3162-5p,1197,6.040612503,22694,6.401393184,0.027334169,0.363475443,1
hsa-miR-3163,67,6.767894959,23824,6.382235608,0.151351829,0.093673904,1
hsa-miR-3164,230,6.846716832,23661,6.378812612,0.078925511,0.11707782,1
hsa-miR-3165,377,6.35709793,23514,6.383737525,0.040164683,0.587495935,1
hsa-miR-3166,658,6.356708338,23233,6.384070761,0.024803769,0.826014881,1
hsa-miR-3167,134,5.66287937,23757,6.38738074,0.09477458,0.182437545,1
hsa-miR-3168,37,6.516285645,23854,6.383110904,0.136421111,0.497485819,1
hsa-miR-3169,1050,6.07837096,22841,6.397335518,0.036850984,0.130865158,1
hsa-miR-3170,748,6.019013796,23143,6.395091724,0.036647353,0.28480913,1
hsa-miR-3171,14,5.073600324,23877,6.384085089,0.150395778,0.909646004,1
hsa-miR-3173-3p,1526,5.958201144,22365,6.412323503,0.044837014,0.00640573,1
hsa-miR-3173-5p,1706,5.8118809,22185,6.427259917,0.051055879,0.000517854,1
hsa-miR-3174,453,6.320198209,23438,6.384537089,0.045654997,0.31245187,1
hsa-miR-3175,2100,5.849230883,21791,6.434787079,0.035986263,0.014012407,1
hsa-miR-3176,2059,5.815599237,21832,6.436859255,0.037116585,0.01120886,1
hsa-miR-3177-3p,492,5.795393993,23399,6.395679142,0.039407736,0.442736109,1
hsa-miR-3177-5p,496,5.631061577,23395,6.399265806,0.073616416,0.010344883,1
hsa-miR-3178,450,5.616410798,23441,6.398039556,0.051046173,0.200122271,1
hsa-miR-3179,301,5.941501099,23590,6.388954568,0.044234352,0.606022451,1
hsa-miR-3180,1446,5.743491531,22445,6.424537373,0.04849238,0.003359985,1
hsa-miR-3180-3p,1626,5.828603389,22265,6.423827576,0.044435016,0.005037601,1
hsa-miR-3180-5p,982,5.798595357,22909,6.408381398,0.050318541,0.016988527,1
hsa-miR-3181,382,5.963476112,23509,6.39013919,0.038863138,0.621318217,1
hsa-miR-3182,45,5.46971785,23846,6.385041214,0.080077721,0.935567159,1
hsa-miR-3183,2267,5.905822473,21624,6.433376366,0.035979175,0.009860781,1
hsa-miR-3184-3p,431,6.085254245,23460,6.388793073,0.080719515,0.008050575,1
hsa-miR-3184-5p,2428,6.003974054,21463,6.426230307,0.030484495,0.034702539,1
hsa-miR-3185,1199,6.109473973,22692,6.397786479,0.031619606,0.20492133,1
hsa-miR-3186-3p,222,5.65840209,23669,6.390116389,0.05841354,0.440917308,1
hsa-miR-3186-5p,304,6.047382526,23587,6.387646831,0.049210872,0.46146255,1
hsa-miR-3187-3p,1102,5.870862979,22789,6.408097726,0.055298633,0.003228707,1
hsa-miR-3187-5p,4296,6.045320794,19595,6.457419339,0.025901876,0.017690164,1
hsa-miR-3188,981,6.021769408,22910,6.398798529,0.031429683,0.310638476,1
hsa-miR-3189-3p,1812,5.73345244,22079,6.436650856,0.044475027,0.002654378,1
hsa-miR-3189-5p,1670,5.899630336,22221,6.419668216,0.047728251,0.001689222,1
hsa-miR-3190-3p,1382,6.010375691,22509,6.406214886,0.025236215,0.37823396,1
hsa-miR-3190-5p,1862,6.065205075,22029,6.410205558,0.025150204,0.227569366,1
hsa-miR-3191-3p,770,5.872445315,23121,6.400330746,0.043373399,0.121137463,1
hsa-miR-3191-5p,889,5.812440281,23002,6.405380866,0.046072337,0.05283799,1
hsa-miR-3192-3p,276,6.226074986,23615,6.385154918,0.04987465,0.505981458,1
hsa-miR-3192-5p,4074,6.102853945,19817,6.440975078,0.024302783,0.03693339,1
hsa-miR-3193,412,5.573864578,23479,6.397521099,0.07662559,0.017222805,1
hsa-miR-3194-3p,1821,5.755874645,22070,6.435087556,0.044450872,0.002594118,1
hsa-miR-3194-5p,2572,6.13281552,21319,6.41353856,0.026192821,0.085767474,1
hsa-miR-3195,274,5.523803158,23617,6.393289072,0.07525091,0.093058823,1
hsa-miR-3196,1539,5.851132559,22352,6.419959604,0.037501779,0.034844762,1
hsa-miR-3197,594,5.80913348,23297,6.397957024,0.055178489,0.058776669,1
hsa-miR-3199,1117,6.198598628,22774,6.392377071,0.039623276,0.07062993,1
hsa-miR-3200-3p,443,5.883028603,23448,6.392769038,0.0584364,0.10265193,1
hsa-miR-3200-5p,310,6.181112999,23581,6.385975364,0.063359922,0.171329904,1
hsa-miR-3201,2,10.9101475,23889,6.382938163,0,1,1
hsa-miR-3202,1796,6.106689405,22095,6.405802938,0.03562169,0.029536671,1
hsa-miR-320a-3p,975,6.633486716,22916,6.372673265,0.02546549,0.5790451,1
hsa-miR-320a-5p,1579,5.738856512,22312,6.428925047,0.051473223,0.000807996,1
hsa-miR-320b,915,6.664458749,22976,6.372120923,0.029257757,0.438536448,1
hsa-miR-320c,579,6.734698717,23312,6.37458989,0.034799544,0.500663006,1
hsa-miR-320d,352,6.516991973,23539,6.381318191,0.046275837,0.447584504,1
hsa-miR-320e,341,6.346722913,23550,6.38384703,0.052247978,0.317885376,1
hsa-miR-323a-3p,86,6.929751818,23805,6.381343055,0.093806265,0.437870565,1
hsa-miR-323a-5p,931,5.807519474,22960,6.406665046,0.045251958,0.051242921,1
hsa-miR-323b-3p,209,6.153247732,23682,6.385347576,0.043780652,0.82201999,1
hsa-miR-323b-5p,318,6.166756241,23573,6.386238561,0.048263563,0.457883031,1
hsa-miR-32-3p,6,10.67065167,23885,6.382240158,0,1,1
hsa-miR-324-3p,3669,6.120285901,20222,6.431040506,0.019563844,0.185461483,1
hsa-miR-324-5p,783,5.757208161,23108,6.40453246,0.052501376,0.03074889,1
hsa-miR-325,176,6.292224446,23715,6.383993193,0.054971202,0.666645312,1
hsa-miR-32-5p,42,7.085101827,23849,6.382081253,0.141319692,0.372292572,1
hsa-miR-328-3p,1548,5.84357991,22343,6.420712007,0.048944394,0.001944147,1
hsa-miR-328-5p,1833,5.836258091,22058,6.428777269,0.038783434,0.012301751,1
hsa-miR-329-3p,470,5.676888083,23421,6.39749339,0.063512015,0.048605298,1
hsa-miR-329-5p,309,5.941983143,23582,6.389100046,0.062512162,0.184260625,1
hsa-miR-330-3p,929,6.301131149,22962,6.386642246,0.023711146,0.697020062,1
hsa-miR-330-5p,3037,5.930524023,20854,6.44925811,0.035699977,0.002324998,1
hsa-miR-331-3p,2342,5.941056058,21549,6.43138321,0.029098915,0.055897267,1
hsa-miR-331-5p,173,7.213020505,23718,6.377265264,0.117297075,0.01772359,1
hsa-miR-335-3p,25,5.810607664,23866,6.383917074,0.139790497,0.71358668,1
hsa-miR-335-5p,27,4.338069794,23864,6.385631168,0.239317553,0.091064416,1
hsa-miR-337-3p,79,5.732305447,23812,6.385476984,0.076026979,0.752955917,1
hsa-miR-337-5p,86,5.731734064,23805,6.385671118,0.102720261,0.326427735,1
hsa-miR-338-3p,486,6.380930768,23405,6.383366705,0.045305644,0.282483242,1
hsa-miR-338-5p,63,8.101587546,23828,6.378774134,0.117257009,0.353353027,1
hsa-miR-339-3p,354,5.553193308,23537,6.395802339,0.067563176,0.082835173,1
hsa-miR-339-5p,1946,6.08393081,21945,6.409865606,0.023363674,0.2833515,1
hsa-miR-33a-3p,66,5.863141918,23825,6.384758141,0.139740532,0.152926366,1
hsa-miR-33a-5p,72,7.799335465,23819,6.379036816,0.128284026,0.18818599,1
hsa-miR-33b-3p,1116,6.047436697,22775,6.399775663,0.030529726,0.274576269,1
hsa-miR-33b-5p,88,6.65775776,23803,6.382302542,0.067246585,0.822739534,1
hsa-miR-340-3p,324,6.181741685,23567,6.386088419,0.031213608,0.914533868,1
hsa-miR-340-5p,15,6.338196217,23876,6.383345499,0.163503099,0.81774529,1
hsa-miR-342-3p,933,5.957532141,22958,6.400620812,0.040672762,0.102970358,1
hsa-miR-342-5p,810,5.76713216,23081,6.404941425,0.053703998,0.021912043,1
hsa-miR-345-3p,1817,6.35000677,22074,6.386059064,0.020720293,0.466872945,1
hsa-miR-345-5p,1228,5.518508177,22663,6.43017703,0.054680274,0.001887161,1
hsa-miR-34a-3p,114,7.042260856,23777,6.380157814,0.067909501,0.672106543,1
hsa-miR-34a-5p,1534,5.814672473,22357,6.422334057,0.045533983,0.00519821,1
hsa-miR-34b-3p,82,5.391003388,23809,6.386734756,0.089732925,0.526079687,1
hsa-miR-34b-5p,876,6.01447596,23015,6.397356035,0.04042946,0.126714207,1
hsa-miR-34c-3p,76,7.091928935,23815,6.381055783,0.127106976,0.17283334,1
hsa-miR-34c-5p,1190,6.028428489,22701,6.401920628,0.031400016,0.214852678,1
hsa-miR-3529-3p,90,5.370051052,23801,6.38714867,0.08848181,0.483992112,1
hsa-miR-3529-5p,230,5.319717472,23661,6.393656019,0.073189416,0.174144409,1
hsa-miR-3605-3p,365,6.105953921,23526,6.387620373,0.0629762,0.115556539,1
hsa-miR-3605-5p,1067,6.042367732,22824,6.399256209,0.028959593,0.359680525,1
hsa-miR-3606-3p,5,3.51362691,23886,6.383917858,0,1,1
hsa-miR-3606-5p,11,3.819465935,23880,6.384498156,0.386687224,0.074647039,1
hsa-miR-3609,288,7.132596244,23603,6.374174569,0.085402868,0.031512994,1
hsa-miR-3610,48,5.945002029,23843,6.384199555,0.131067469,0.382939143,1
hsa-miR-3611,10,7.100887962,23881,6.383016674,0,1,1
hsa-miR-3612,1396,5.755987104,22495,6.422248148,0.050016336,0.002785599,1
hsa-miR-3613-3p,89,6.486550015,23802,6.382931146,0.091774461,0.44403086,1
hsa-miR-3613-5p,15,6.155630827,23876,6.383460195,0.318931144,0.094746013,1
hsa-miR-3614-3p,604,6.105258034,23287,6.390529232,0.057461714,0.040980625,1
hsa-miR-3614-5p,1014,5.92947557,22877,6.403433223,0.041551039,0.069975553,1
hsa-miR-3615,477,5.638202935,23414,6.398496937,0.073818295,0.012258422,1
hsa-miR-361-5p,202,7.348354476,23689,6.37508812,0.111844324,0.013328889,1
hsa-miR-3616-3p,1337,5.864268505,22554,6.41408633,0.036956795,0.063630476,1
hsa-miR-3616-5p,58,4.500819533,23833,6.387898399,0.16644771,0.081034621,1
hsa-miR-3617-3p,287,5.772593412,23604,6.390742915,0.046258179,0.578752068,1
hsa-miR-3617-5p,91,6.887956073,23800,6.38138765,0.064957983,0.83891101,1
hsa-miR-3618,52,7.062868839,23839,6.381834846,0.157717477,0.151278165,1
hsa-miR-3619-3p,605,6.200243183,23286,6.388073648,0.023422224,0.90274337,1
hsa-miR-3620-5p,3312,5.987813166,20579,6.446969866,0.035641972,0.001422823,1
hsa-miR-3621,318,5.404557727,23573,6.396520626,0.089435414,0.013216232,1
hsa-miR-3622a-3p,775,5.859436406,23116,6.400881072,0.042426249,0.134440717,1
hsa-miR-3622a-5p,951,6.376525901,22940,6.38359869,0.019006195,0.896334825,1
hsa-miR-3622b-3p,1055,5.920473647,22836,6.404700052,0.041685366,0.060117441,1
hsa-miR-3622b-5p,2069,6.219753859,21822,6.398825009,0.016817934,0.659013676,1
hsa-miR-362-3p,288,5.520646962,23603,6.393843315,0.111218942,0.001753952,1
hsa-miR-362-5p,359,6.085625254,23532,6.387858687,0.037282605,0.709441512,1
hsa-miR-363-3p,96,6.493512697,23795,6.382872573,0.055108304,0.933558811,1
hsa-miR-363-5p,819,6.073379823,23072,6.394319175,0.026135576,0.652418497,1
hsa-miR-3646,148,6.632338104,23743,6.381764901,0.078805304,0.320510851,1
hsa-miR-3648,357,5.951581294,23534,6.389866387,0.046295139,0.438158183,1
hsa-miR-3649,755,5.789188733,23136,6.40270542,0.044426335,0.111567022,1
hsa-miR-3650,325,5.881478748,23566,6.390238033,0.075401067,0.052232091,1
hsa-miR-3651,473,6.46332936,23418,6.381701055,0.019225918,0.995473904,1
hsa-miR-3652,2997,6.299986022,20894,6.395270028,0.014585499,0.632689608,1
hsa-miR-3654,420,6.487984636,23471,6.381444188,0.031132745,0.818705992,1
hsa-miR-3655,70,6.164920154,23821,6.38395893,0.072272365,0.859228259,1
hsa-miR-3657,441,5.173192036,23450,6.406074729,0.092472332,0.001218989,1
hsa-miR-3658,34,7.624711498,23857,6.381547969,0.179367752,0.224716728,1
hsa-miR-3659,243,6.127061632,23648,6.38595036,0.051064794,0.557272959,1
hsa-miR-365a-3p,160,5.449888469,23731,6.389610549,0.119190089,0.021874846,1
hsa-miR-365a-5p,869,6.001573616,23022,6.397726636,0.039499767,0.14656358,1
hsa-miR-365b-3p,160,5.449888469,23731,6.389610549,0.119190089,0.021874846,1
hsa-miR-365b-5p,834,5.815679797,23057,6.403849292,0.048554885,0.044957996,1
hsa-miR-3660,597,6.042458263,23294,6.392052996,0.036046263,0.435947173,1
hsa-miR-3661,1617,6.118931467,22274,6.402510456,0.019532023,0.613086545,1
hsa-miR-3662,152,6.348366716,23739,6.383540939,0.05455463,0.759691347,1
hsa-miR-3663-3p,1334,5.91322785,22557,6.411117796,0.034759519,0.095320492,1
hsa-miR-3663-5p,2604,6.265889817,21287,6.397681824,0.014940463,0.678314762,1
hsa-miR-3664-3p,1457,6.126537587,22434,6.399993974,0.021000334,0.582357818,1
hsa-miR-3664-5p,283,5.832086853,23608,6.389925004,0.056599967,0.331809472,1
hsa-miR-3665,1921,6.083663731,21970,6.409518073,0.035195479,0.025138522,1
hsa-miR-3666,430,5.664814114,23461,6.396486084,0.078466292,0.011036621,1
hsa-miR-3667-3p,1880,6.033841901,22011,6.413166476,0.03565229,0.024476251,1
hsa-miR-3667-5p,491,6.376620353,23400,6.38345767,0.019527303,0.992991211,1
hsa-miR-3668,8,6.758480853,23883,6.383191485,0,1,1
hsa-miR-3670,855,6.244363076,23036,6.388474546,0.025078621,0.677621745,1
hsa-miR-3671,34,6.938889919,23857,6.382525373,0.113849924,0.771003283,1
hsa-miR-3672,56,5.508178188,23835,6.385373279,0.07302811,0.926922102,1
hsa-miR-367-3p,397,5.91613101,23494,6.391211632,0.05384911,0.207608817,1
hsa-miR-3674,21,4.474486938,23870,6.384996475,0.164125122,0.624162544,1
hsa-miR-3675-3p,144,7.317986379,23747,6.377649389,0.061286981,0.655448867,1
hsa-miR-3675-5p,855,6.122183381,23036,6.393009346,0.019836483,0.90185324,1
hsa-miR-367-5p,76,5.877215265,23815,6.384932258,0.099844746,0.436864542,1
hsa-miR-3677-5p,1445,6.053364985,22446,6.404558392,0.030180669,0.168527249,1
hsa-miR-3678-3p,1286,5.822394897,22605,6.415228058,0.032256589,0.158906587,1
hsa-miR-3678-5p,59,6.144424919,23832,6.383908569,0.130798357,0.266330504,1
hsa-miR-3679-3p,1230,5.957315808,22661,6.40643977,0.051340992,0.004264955,1
hsa-miR-3679-5p,513,6.219141478,23378,6.386919775,0.026637146,0.868484067,1
hsa-miR-3680-3p,342,5.802970592,23549,6.391745473,0.062402421,0.144765151,1
hsa-miR-3680-5p,421,6.400381187,23470,6.383011061,0.036471282,0.641143477,1
hsa-miR-3681-3p,655,5.978054449,23236,6.394741109,0.04452475,0.159904493,1
hsa-miR-3681-5p,295,5.555415855,23596,6.393667673,0.066746447,0.149073852,1
hsa-miR-3682-3p,133,6.461530794,23758,6.382879303,0.076096251,0.427957503,1
hsa-miR-3682-5p,54,6.314204893,23837,6.383473718,0.104085774,0.603646548,1
hsa-miR-3683,33,4.290772948,23858,6.386211525,0.184556606,0.211618006,1
hsa-miR-3684,66,7.566873883,23825,6.380038464,0.203125696,0.008754972,1
hsa-miR-3685,253,6.370121359,23638,6.383458388,0.039328883,0.833533085,1
hsa-miR-3686,16,8.789234112,23875,6.38170481,0.237256545,0.329085539,1
hsa-miR-3688-3p,166,7.117626567,23725,6.378179308,0.083597953,0.199498517,1
