transcript,chr,start,end,strand,gene,exonnum
NONHSAT105485.2,chr5,177951198,177957893,+,NONHSAG042381.3,4
NONHSAT105486.2,chr5,177951361,177959811,+,NONHSAG042381.3,3
NONHSAT105489.2,chr5,177953165,177957759,+,NONHSAG042381.3,2
NONHSAT105529.2,chr5,178236413,178237574,+,NONHSAG042397.2,2
NONHSAT105542.2,chr5,178619728,178619998,-,NONHSAG042403.2,1
NONHSAT105561.2,chr5,178885487,178887886,+,NONHSAG042408.3,2
NONHSAT105588.2,chr5,179528137,179530725,-,NONHSAG042424.2,1
NONHSAT105590.2,chr5,179572156,179572741,+,NONHSAG042426.2,1
NONHSAT105591.2,chr5,179595904,179603741,-,NONHSAG042427.2,9
NONHSAT105595.2,chr5,179614179,179623669,-,NONHSAG042430.2,5
NONHSAT105609.2,chr5,179657832,179658795,+,NONHSAG042433.3,2
NONHSAT105611.2,chr5,179658236,179664432,+,NONHSAG042433.3,3
NONHSAT105612.2,chr5,179658265,179664430,+,NONHSAG042433.3,2
NONHSAT105615.2,chr5,179679032,179694649,+,NONHSAG042434.2,2
NONHSAT105616.2,chr5,179696600,179697699,-,NONHSAG042435.2,1
NONHSAT105621.2,chr5,179788128,179793535,+,NONHSAG042438.2,2
NONHSAT105657.2,chr5,179918911,179920229,-,NONHSAG042451.2,1
NONHSAT105673.2,chr5,180292232,180296298,+,NONHSAG042460.2,1
NONHSAT105675.2,chr5,180292232,180297267,+,NONHSAG042460.2,2
NONHSAT105679.2,chr5,180441559,180443238,+,NONHSAG042461.2,2
NONHSAT105682.2,chr5,180467886,180483503,+,NONHSAG042462.2,2
NONHSAT105687.2,chr5,180580444,180581867,+,NONHSAG042464.2,1
NONHSAT105689.2,chr5,180587932,180589100,+,NONHSAG042465.2,1
NONHSAT105692.2,chr5,180603193,180603407,-,NONHSAG042467.2,1
NONHSAT105806.2,chr5,180784782,180787869,-,NONHSAG042471.2,1
NONHSAT105825.2,chr5,180826880,180831943,-,NONHSAG042475.3,2
NONHSAT105830.2,chr5,180828984,180831946,-,NONHSAG042475.3,2
NONHSAT105836.2,chr5,180829959,180835725,+,NONHSAG042476.3,2
NONHSAT105837.2,chr5,180829959,180835725,+,NONHSAG042476.3,2
NONHSAT105847.2,chr5,180847611,180860684,-,NONHSAG042479.2,3
NONHSAT105872.2,chr5,181190942,181193104,-,NONHSAG091452.2,2
NONHSAT105873.2,chr5,181190942,181194486,+,NONHSAG042491.3,2
NONHSAT105874.2,chr5,181191921,181194429,+,NONHSAG042491.3,2
NONHSAT105875.2,chr5,181191974,181194486,+,NONHSAG042491.3,2
NONHSAT105876.2,chr5,181191974,181194486,+,NONHSAG042491.3,3
NONHSAT105877.2,chr5,181191974,181194486,+,NONHSAG042491.3,3
NONHSAT105883.2,chr5,181199368,181203101,+,NONHSAG042491.3,2
NONHSAT105887.2,chr5,181205361,181206120,-,NONHSAG042493.2,2
NONHSAT105888.2,chr5,181207462,181217800,-,NONHSAG042494.2,2
NONHSAT105925.2,chr5,181222869,181230685,-,NONHSAG042495.2,2
NONHSAT105937.2,chr5,181246509,181272167,+,NONHSAG042500.3,4
NONHSAT105938.2,chr5,181246541,181257586,+,NONHSAG042500.3,3
NONHSAT105939.2,chr5,181246509,181257586,+,NONHSAG042500.3,2
NONHSAT105941.2,chr5,181258901,181264773,+,NONHSAG042500.3,2
NONHSAT105944.2,chr5,181261213,181264858,+,NONHSAG042500.3,3
NONHSAT105950.2,chr5,181306502,181324130,+,NONHSAG042502.3,8
NONHSAT105951.2,chr5,181316325,181321816,+,NONHSAG042502.3,5
NONHSAT105969.2,chr6,142272,145083,-,NONHSAG042512.2,1
NONHSAT106071.2,chr6,669081,670307,-,NONHSAG042531.2,1
NONHSAT106430.2,chr6,1274685,1276704,-,NONHSAG042585.2,1
NONHSAT106437.2,chr6,1308597,1311682,-,NONHSAG042588.2,1
NONHSAT106451.2,chr6,1333184,1335182,-,NONHSAG042591.3,1
NONHSAT106455.2,chr6,1350417,1410627,-,NONHSAG042591.3,6
NONHSAT106461.2,chr6,1380206,1383815,+,NONHSAG042594.2,1
NONHSAT106466.2,chr6,1383790,1385066,-,NONHSAG042591.3,1
NONHSAT106467.2,chr6,1385909,1387908,-,NONHSAG042595.3,1
NONHSAT106468.2,chr6,1386673,1388671,-,NONHSAG042595.3,1
NONHSAT106524.2,chr6,1584930,1624667,-,NONHSAG094736.2,5
NONHSAT106537.2,chr6,1610663,1610979,+,NONHSAG042612.2,1
NONHSAT106538.2,chr6,1612342,1613892,+,NONHSAG042613.2,1
NONHSAT106547.2,chr6,1766963,1806699,-,NONHSAG042617.2,5
NONHSAT106569.2,chr6,1948526,1949015,-,NONHSAG042622.2,1
NONHSAT106571.2,chr6,1950229,1952164,-,NONHSAG042624.2,2
NONHSAT106582.2,chr6,1986680,1988615,-,NONHSAG042629.2,2
NONHSAT106589.2,chr6,2037478,2037967,-,NONHSAG042632.2,1
NONHSAT106610.2,chr6,2167666,2168155,-,NONHSAG042635.2,1
NONHSAT106619.2,chr6,2245748,2399001,+,NONHSAG042643.3,4
NONHSAT106620.2,chr6,2245753,2413591,+,NONHSAG042643.3,7
NONHSAT106622.2,chr6,2245762,2398766,+,NONHSAG042643.3,5
NONHSAT106626.2,chr6,2245762,2398747,+,NONHSAG042643.3,5
NONHSAT106629.2,chr6,2245812,2264128,+,NONHSAG042643.3,3
NONHSAT106631.2,chr6,2245812,2283773,+,NONHSAG042643.3,4
NONHSAT106632.2,chr6,2245812,2270013,+,NONHSAG042643.3,4
NONHSAT106633.2,chr6,2245812,2367315,+,NONHSAG042643.3,5
NONHSAT106642.2,chr6,2306293,2352702,+,NONHSAG042643.3,3
NONHSAT106650.2,chr6,2356732,2362390,+,NONHSAG042644.2,1
NONHSAT106653.2,chr6,2370105,2375769,+,NONHSAG042645.2,1
NONHSAT106655.2,chr6,2391546,2413548,+,NONHSAG042643.3,3
NONHSAT106656.2,chr6,2391546,2413591,+,NONHSAG042643.3,3
NONHSAT106657.2,chr6,2397194,2413090,+,NONHSAG042643.3,4
NONHSAT106658.2,chr6,2397243,2434493,+,NONHSAG042643.3,4
NONHSAT106660.2,chr6,2397975,2398992,+,NONHSAG042643.3,3
NONHSAT106662.2,chr6,2398657,2481118,+,NONHSAG042643.3,3
NONHSAT106664.2,chr6,2399007,2483179,+,NONHSAG042643.3,4
NONHSAT106677.2,chr6,2452411,2484027,+,NONHSAG042643.3,4
NONHSAT106678.2,chr6,2461146,2467357,+,NONHSAG042650.2,2
NONHSAT106680.2,chr6,2462443,2468647,+,NONHSAG042650.2,2
NONHSAT106703.2,chr6,2616500,2617993,-,NONHSAG042670.2,3
NONHSAT106731.2,chr6,2749188,2765592,-,NONHSAG042681.2,2
NONHSAT106735.2,chr6,2769538,2770716,+,NONHSAG042683.2,1
NONHSAT106742.2,chr6,2790908,2821909,-,NONHSAG056031.2,2
NONHSAT106762.2,chr6,2828567,2845196,-,NONHSAG042688.2,13
NONHSAT106767.2,chr6,2833928,2835373,-,NONHSAG042690.2,3
NONHSAT106773.2,chr6,2835300,2835511,-,NONHSAG042690.2,1
NONHSAT106787.2,chr6,2840678,2852914,-,NONHSAG113121.1,9
NONHSAT106788.2,chr6,2840678,2857283,-,NONHSAG113121.1,13
NONHSAT106799.2,chr6,2854066,2876571,-,NONHSAG042697.2,3
NONHSAT106800.2,chr6,2854657,2876510,-,NONHSAG042697.2,2
NONHSAT106824.2,chr6,2877513,2894134,-,NONHSAG042704.2,13
NONHSAT106825.2,chr6,2877513,2889765,-,NONHSAG042704.2,9
NONHSAT106853.2,chr6,2891271,2892716,-,NONHSAG042709.2,3
NONHSAT106854.2,chr6,2892643,2892854,-,NONHSAG042709.2,1
NONHSAT106881.2,chr6,2940064,2956475,-,NONHSAG042716.2,18
NONHSAT106882.2,chr6,2940064,2956188,-,NONHSAG042716.2,20
NONHSAT106889.2,chr6,2965089,2967178,-,NONHSAG042718.2,3
NONHSAT106890.2,chr6,2965454,2967178,-,NONHSAG042718.2,3
NONHSAT106901.2,chr6,2987967,2991173,+,NONHSAG042723.3,2
NONHSAT106902.2,chr6,2987967,2990348,+,NONHSAG042723.3,2
NONHSAT106904.2,chr6,2988648,2991173,+,NONHSAG042723.3,3
NONHSAT106905.2,chr6,2988658,2990252,+,NONHSAG042723.3,2
NONHSAT106908.2,chr6,2989345,2999579,-,NONHSAG042722.3,2
NONHSAT106910.2,chr6,2989726,2999134,-,NONHSAG042722.3,2
NONHSAT106911.2,chr6,2993065,3017972,+,NONHSAG042724.2,29
NONHSAT106915.2,chr6,2997382,3013507,-,NONHSAG042722.3,20
NONHSAT106920.2,chr6,3001129,3022800,+,NONHSAG042724.2,22
NONHSAT106931.2,chr6,3020154,3022750,+,NONHSAG042724.2,1
NONHSAT106932.2,chr6,3020156,3024771,-,NONHSAG042722.3,1
NONHSAT106935.2,chr6,3024791,3027425,+,NONHSAG042726.3,1
NONHSAT106937.2,chr6,3026177,3027517,+,NONHSAG042726.3,2
NONHSAT106952.2,chr6,3055752,3056965,+,NONHSAG042728.2,2
NONHSAT106958.2,chr6,3062585,3065030,+,NONHSAG042728.2,3
NONHSAT106959.2,chr6,3063338,3066064,+,NONHSAG042728.2,3
NONHSAT106967.2,chr6,3080878,3081833,+,NONHSAG042737.2,1
NONHSAT106968.2,chr6,3087175,3112087,+,NONHSAG042738.2,29
NONHSAT106973.2,chr6,3088942,3089897,+,NONHSAG042739.2,1
NONHSAT106989.2,chr6,3115517,3116473,-,NONHSAG042740.2,1
NONHSAT107002.2,chr6,3164111,3180234,-,NONHSAG042746.2,20
NONHSAT107020.2,chr6,3232507,3242779,+,NONHSAG042749.2,8
NONHSAT107038.2,chr6,3258762,3262035,+,NONHSAG042753.2,8
NONHSAT107048.2,chr6,3271428,3281699,+,NONHSAG042757.2,8
NONHSAT107060.2,chr6,3304873,3305828,+,NONHSAG042759.2,1
NONHSAT107061.2,chr6,3305889,3309162,+,NONHSAG042760.2,8
NONHSAT107064.2,chr6,3308673,3313276,-,NONHSAG042761.2,13
NONHSAT107073.2,chr6,3318745,3319393,-,NONHSAG042764.2,2
NONHSAT107083.2,chr6,3344915,3364327,-,NONHSAG042767.2,5
NONHSAT107085.2,chr6,3355317,3356296,+,NONHSAG042768.2,2
NONHSAT107086.2,chr6,3355807,3360410,-,NONHSAG042767.2,13
NONHSAT107098.2,chr6,3381359,3382921,-,NONHSAG042770.2,3
NONHSAT107103.2,chr6,3399518,3401081,-,NONHSAG042772.2,3
NONHSAT107105.2,chr6,3399518,3401081,-,NONHSAG042772.2,3
NONHSAT107109.2,chr6,3409531,3412885,-,NONHSAG042775.2,10
NONHSAT107111.2,chr6,3429419,3429708,-,NONHSAG042776.2,1
NONHSAT107115.2,chr6,3435083,3436646,-,NONHSAG042777.2,3
NONHSAT107121.2,chr6,3448657,3449305,-,NONHSAG042780.2,2
NONHSAT107264.2,chr6,4015822,4016386,-,NONHSAG042836.3,1
NONHSAT107267.2,chr6,4002068,4021167,-,NONHSAG042836.3,2
NONHSAT107273.2,chr6,4043736,4046150,+,NONHSAG042838.2,2
NONHSAT107288.2,chr6,4062528,4064971,+,NONHSAG042841.2,3
NONHSAT107324.2,chr6,4135423,4146053,+,NONHSAG042853.3,2
NONHSAT107337.2,chr6,4170575,4181185,+,NONHSAG042854.3,14
NONHSAT107346.2,chr6,4189116,4189806,+,NONHSAG042856.2,1
NONHSAT107490.2,chr6,4847526,4848357,+,NONHSAG042904.2,1
NONHSAT107491.2,chr6,4858787,4864242,+,NONHSAG042905.2,15
NONHSAT107503.2,chr6,5030076,5031125,+,NONHSAG042907.3,2
NONHSAT107510.2,chr6,5042307,5054739,-,NONHSAG042908.3,2
NONHSAT107511.2,chr6,5065795,5066982,-,NONHSAG042909.2,1
NONHSAT107521.2,chr6,5502272,5504407,+,NONHSAG042914.2,1
NONHSAT107555.2,chr6,6685459,6686100,-,NONHSAG042933.3,1
NONHSAT107608.2,chr6,7539883,7542417,-,NONHSAG042957.3,2
NONHSAT107609.2,chr6,7540451,7541384,-,NONHSAG042957.3,1
NONHSAT107610.2,chr6,7539834,7542417,-,NONHSAG042957.3,2
NONHSAT107636.2,chr6,8435623,8785445,+,NONHSAG042968.3,5
NONHSAT107637.2,chr6,8435623,8712293,+,NONHSAG042968.3,4
NONHSAT107638.2,chr6,8435629,8438498,+,NONHSAG042968.3,2
NONHSAT107680.2,chr6,10412318,10416169,+,NONHSAG042989.3,3
NONHSAT107681.2,chr6,10414578,10415722,+,NONHSAG042989.3,2
NONHSAT107712.2,chr6,10743324,10747584,-,NONHSAG043002.3,2
NONHSAT107727.2,chr6,11043744,11079152,+,NONHSAG043010.3,3
NONHSAT107728.2,chr6,11044691,11079144,+,NONHSAG043010.3,3
NONHSAT107764.2,chr6,11810602,11811248,+,NONHSAG043019.3,2
NONHSAT107780.2,chr6,12295693,12314396,-,NONHSAG043031.3,4
NONHSAT107781.2,chr6,12310375,12313471,-,NONHSAG043031.3,2
NONHSAT107796.2,chr6,13272749,13274386,-,NONHSAG043041.2,2
NONHSAT107797.2,chr6,13273391,13283441,-,NONHSAG043041.2,3
NONHSAT107802.2,chr6,13328636,13330136,+,NONHSAG043042.3,2
NONHSAT107804.2,chr6,13357835,13360962,-,NONHSAG043043.2,1
NONHSAT107814.2,chr6,13786745,13790413,-,NONHSAG043050.2,1
NONHSAT107817.2,chr6,13949095,13949666,+,NONHSAG043053.2,1
NONHSAT107844.2,chr6,14474573,14508969,+,NONHSAG043059.3,3
NONHSAT107901.2,chr6,16363081,16364154,-,NONHSAG043093.2,1
NONHSAT107909.2,chr6,16764346,16766883,+,NONHSAG093019.2,1
NONHSAT107910.2,chr6,16761641,16766994,+,NONHSAG093019.2,2
NONHSAT107919.2,chr6,17332230,17359313,+,NONHSAG043102.2,2
NONHSAT107929.2,chr6,17706163,17707344,+,NONHSAG043108.3,1
NONHSAT107930.2,chr6,17706163,17711486,+,NONHSAG043108.3,3
NONHSAT107939.2,chr6,18264803,18265875,+,NONHSAG043114.2,2
NONHSAT108008.2,chr6,19800634,19804907,-,NONHSAG094008.2,2
NONHSAT108011.2,chr6,19803371,19804646,-,NONHSAG094008.2,2
NONHSAT108043.2,chr6,21597430,21598619,+,NONHSAG043149.2,1
NONHSAT108046.2,chr6,21664242,21909837,+,NONHSAG056029.3,7
NONHSAT108047.2,chr6,21665873,22221484,+,NONHSAG056029.3,26
NONHSAT108050.2,chr6,21668647,22194385,+,NONHSAG056029.3,12
NONHSAT108053.2,chr6,21898720,22214506,+,NONHSAG056029.3,11
NONHSAT108055.2,chr6,22020372,22110921,+,NONHSAG056029.3,4
NONHSAT108056.2,chr6,22020372,22063251,+,NONHSAG056029.3,3
NONHSAT108064.2,chr6,22164317,22171626,+,NONHSAG056029.3,2
NONHSAT108066.2,chr6,22180817,22187342,+,NONHSAG056029.3,1
NONHSAT108067.2,chr6,22190816,22196366,+,NONHSAG056029.3,2
NONHSAT108071.2,chr6,22220781,22222395,+,NONHSAG056029.3,1
NONHSAT108073.2,chr6,22260424,22317798,+,NONHSAG043160.2,4
NONHSAT108115.2,chr6,24533792,24539282,-,NONHSAG043180.2,2
NONHSAT108138.2,chr6,25107082,25138359,-,NONHSAG043195.2,8
NONHSAT108151.2,chr6,25291949,25292251,+,NONHSAG043204.2,2
NONHSAT108152.2,chr6,25297150,25297810,+,NONHSAG043205.2,1
NONHSAT108160.2,chr6,25439769,25440257,+,NONHSAG043209.2,1
NONHSAT108162.2,chr6,25454241,25454560,+,NONHSAG043211.2,1
NONHSAT108165.2,chr6,25611772,25612930,+,NONHSAG043213.2,2
NONHSAT108195.2,chr6,25976547,25977067,+,NONHSAG043223.2,1
NONHSAT108196.2,chr6,25992706,26013948,+,NONHSAG093064.2,2
NONHSAT108197.2,chr6,25992699,26000489,+,NONHSAG093064.2,3
NONHSAT108198.2,chr6,25994084,25999601,+,NONHSAG093064.2,2
NONHSAT108206.2,chr6,26043989,26044357,+,NONHSAG043227.2,1
NONHSAT108208.2,chr6,26086291,26088155,-,NONHSAG043228.2,1
NONHSAT108234.2,chr6,26195566,26195771,+,NONHSAG043232.2,1
NONHSAT108254.2,chr6,26296922,26297452,+,NONHSAG043234.3,1
NONHSAT108258.2,chr6,26316325,26316612,-,NONHSAG043235.2,1
NONHSAT108261.2,chr6,26321911,26322384,-,NONHSAG043238.2,1
NONHSAT108279.2,chr6,26423552,26428671,+,NONHSAG043245.2,3
NONHSAT108285.2,chr6,26474306,26476488,+,NONHSAG043249.2,2
NONHSAT108289.2,chr6,26521729,26528653,+,NONHSAG043250.2,1
NONHSAT108308.2,chr6,26871484,26956554,-,NONHSAG043260.2,9
NONHSAT108309.2,chr6,26877921,26925213,-,NONHSAG043260.2,5
NONHSAT108321.2,chr6,26956992,26974367,+,NONHSAG093078.2,3
NONHSAT108322.2,chr6,27019366,27020306,-,NONHSAG043263.3,1
NONHSAT108326.2,chr6,27020359,27023924,+,NONHSAG093078.2,3
NONHSAT108335.2,chr6,27107933,27108655,-,NONHSAG043269.2,2
NONHSAT108380.2,chr6,27389939,27390923,+,NONHSAG043281.2,1
NONHSAT108381.2,chr6,27400536,27400755,+,NONHSAG043282.2,1
NONHSAT108394.2,chr6,27694035,27710222,+,NONHSAG043289.3,3
NONHSAT108395.2,chr6,27694035,27710222,+,NONHSAG043289.3,4
NONHSAT108397.2,chr6,27694064,27713405,+,NONHSAG043289.3,6
NONHSAT108407.2,chr6,27807075,27807339,+,NONHSAG043292.2,1
NONHSAT108411.2,chr6,27853720,27855804,+,NONHSAG043294.2,2
NONHSAT108424.2,chr6,28078792,28081130,-,NONHSAG094959.2,2
NONHSAT108425.2,chr6,28090807,28095715,+,NONHSAG043300.3,2
NONHSAT108431.2,chr6,28116011,28120543,-,NONHSAG043303.3,2
NONHSAT108435.2,chr6,28121795,28137316,-,NONHSAG043303.3,3
NONHSAT108437.2,chr6,28125593,28136824,-,NONHSAG043303.3,2
NONHSAT108438.2,chr6,28136849,28139678,+,NONHSAG043304.2,1
NONHSAT108442.2,chr6,28160822,28163738,+,NONHSAG043305.2,2
NONHSAT108443.2,chr6,28162418,28166638,+,NONHSAG043305.2,3
NONHSAT108445.2,chr6,28170845,28172521,+,NONHSAG043306.2,1
NONHSAT108452.2,chr6,28272692,28281445,+,NONHSAG043310.2,2
NONHSAT108467.2,chr6,28485451,28489590,-,NONHSAG043315.3,2
NONHSAT108547.2,chr6,29737759,29738444,-,NONHSAG043371.3,2
NONHSAT108632.2,chr6,30300774,30304115,-,NONHSAG043403.3,1
NONHSAT108633.2,chr6,30304071,30306960,-,NONHSAG043403.3,1
NONHSAT108734.2,chr6,31171609,31176821,-,NONHSAG043476.3,2
NONHSAT108738.2,chr6,31181903,31185899,-,NONHSAG043476.3,1
NONHSAT108777.2,chr6,31479982,31494760,-,NONHSAG043483.2,2
NONHSAT108842.2,chr6,31822214,31827327,+,NONHSAG043520.2,2
NONHSAT108933.2,chr6,32825415,32828345,-,NONHSAG043573.2,1
NONHSAT108944.2,chr6,32892253,32904062,+,NONHSAG093136.2,2
NONHSAT108992.2,chr6,33399763,33400594,+,NONHSAG043604.2,1
NONHSAT109007.2,chr6,33631317,33633636,-,NONHSAG043614.2,2
NONHSAT109931.2,chr6,33888754,33896940,-,NONHSAG043616.2,3
NONHSAT112116.2,chr6,34236873,34246230,+,NONHSAG043626.2,6
NONHSAT112120.2,chr6,34263717,34286762,+,NONHSAG043629.3,3
NONHSAT112121.2,chr6,34263717,34286762,+,NONHSAG043629.3,2
NONHSAT112122.2,chr6,34279606,34281321,-,NONHSAG043628.2,2
NONHSAT112123.2,chr6,34279679,34286768,+,NONHSAG043629.3,1
NONHSAT112124.2,chr6,34279680,34282192,-,NONHSAG043628.2,1
NONHSAT112138.2,chr6,34576258,34576656,-,NONHSAG043633.2,1
NONHSAT112142.2,chr6,34685357,34685642,-,NONHSAG043635.2,1
NONHSAT112145.2,chr6,34696447,34697562,+,NONHSAG043637.3,2
NONHSAT112157.2,chr6,35023522,35023831,+,NONHSAG043640.2,1
NONHSAT112179.2,chr6,35426885,35427220,+,NONHSAG043653.2,1
NONHSAT112221.2,chr6,36493890,36494353,-,NONHSAG043672.2,1
NONHSAT112236.2,chr6,36852061,36854663,-,NONHSAG043677.2,1
NONHSAT112258.2,chr6,37361185,37361480,+,NONHSAG043688.2,1
NONHSAT112279.2,chr6,37651218,37651872,-,NONHSAG043699.2,1
NONHSAT112287.2,chr6,37904799,37908021,+,NONHSAG043706.2,1
NONHSAT112300.2,chr6,38161997,38164337,+,NONHSAG043710.2,3
NONHSAT112308.2,chr6,38175155,38176306,+,NONHSAG043713.2,1
NONHSAT112318.2,chr6,38640150,38649370,+,NONHSAG043722.3,1
NONHSAT112319.2,chr6,38647811,38651831,+,NONHSAG043722.3,1
NONHSAT112320.2,chr6,38640208,38665518,+,NONHSAG043722.3,2
NONHSAT112325.2,chr6,38665947,38667382,+,NONHSAG043722.3,1
NONHSAT112327.2,chr6,38668108,38668769,+,NONHSAG043722.3,1
NONHSAT112445.2,chr6,39958414,39958833,-,NONHSAG043737.2,1
NONHSAT112694.2,chr6,40878735,40999231,-,NONHSAG094148.2,6
NONHSAT112695.2,chr6,40880059,40887418,-,NONHSAG094148.2,3
NONHSAT112704.2,chr6,41101034,41140835,+,NONHSAG043757.2,23
NONHSAT112706.2,chr6,41117488,41120653,+,NONHSAG043757.2,3
NONHSAT112712.2,chr6,41137357,41140829,+,NONHSAG043757.2,5
NONHSAT112719.2,chr6,41138601,41140029,+,NONHSAG043757.2,2
NONHSAT112742.2,chr6,41523922,41546299,-,NONHSAG043770.3,2
NONHSAT112743.2,chr6,41523915,41546295,-,NONHSAG043770.3,2
NONHSAT112752.2,chr6,41690978,41705940,-,NONHSAG043775.2,2
NONHSAT112755.2,chr6,41691180,41733828,-,NONHSAG043775.2,2
NONHSAT112767.2,chr6,41789896,41792408,-,NONHSAG043780.2,1
NONHSAT112775.2,chr6,41795969,41796618,-,NONHSAG043781.2,2
NONHSAT112798.2,chr6,42456055,42457021,+,NONHSAG043786.3,2
NONHSAT112844.2,chr6,42783496,42791319,+,NONHSAG043790.3,2
NONHSAT112854.2,chr6,42928002,42939262,+,NONHSAG043795.2,8
NONHSAT112859.2,chr6,42961557,42961907,-,NONHSAG043798.2,1
NONHSAT112866.2,chr6,43036198,43036500,-,NONHSAG043799.2,1
NONHSAT112876.2,chr6,43204156,43205263,+,NONHSAG043808.2,4
NONHSAT112894.2,chr6,43481183,43481594,+,NONHSAG043821.2,1
NONHSAT112898.2,chr6,43523898,43528926,-,NONHSAG043823.2,9
NONHSAT112918.2,chr6,43770225,43771019,+,NONHSAG043833.2,1
NONHSAT112934.2,chr6,43995723,44074652,-,NONHSAG043840.2,5
NONHSAT112941.2,chr6,44069088,44073317,-,NONHSAG043844.2,1
NONHSAT112955.2,chr6,44239276,44240664,+,NONHSAG043850.2,1
NONHSAT112982.2,chr6,45555843,45576771,-,NONHSAG043865.2,2
NONHSAT113038.2,chr6,47562622,47563018,+,NONHSAG043894.2,1
NONHSAT113041.2,chr6,47715283,47715601,+,NONHSAG043897.2,1
NONHSAT113049.2,chr6,48088289,48096471,-,NONHSAG043901.2,5
NONHSAT113060.2,chr6,49552462,49561848,+,NONHSAG043905.2,3
NONHSAT113088.2,chr6,50912712,50913256,-,NONHSAG043921.2,1
NONHSAT113090.2,chr6,51410081,51410537,-,NONHSAG043924.2,1
NONHSAT113105.2,chr6,52284330,52285592,+,NONHSAG043930.2,1
NONHSAT113108.2,chr6,52417341,52420952,-,NONHSAG094221.2,2
NONHSAT113126.2,chr6,52577170,52580694,+,NONHSAG043934.3,2
NONHSAT113127.2,chr6,52577181,52583994,+,NONHSAG043934.3,3
NONHSAT113129.2,chr6,52577298,52583993,+,NONHSAG043934.3,4
NONHSAT113130.2,chr6,52577307,52583985,+,NONHSAG043934.3,4
NONHSAT113132.2,chr6,52576799,52583994,+,NONHSAG043934.3,3
NONHSAT113133.2,chr6,52577181,52581373,+,NONHSAG043934.3,2
NONHSAT113138.2,chr6,52664401,52669153,+,NONHSAG043936.2,2
NONHSAT113149.2,chr6,52995615,52995950,+,NONHSAG043942.2,1
NONHSAT113153.2,chr6,53093456,53098368,+,NONHSAG112945.1,5
NONHSAT113170.2,chr6,53350158,53350705,+,NONHSAG043952.2,1
NONHSAT113180.2,chr6,53503034,53507619,+,NONHSAG043961.2,3
NONHSAT113181.2,chr6,53561289,53617169,-,NONHSAG043962.2,4
NONHSAT113182.2,chr6,53561289,53617007,-,NONHSAG043962.2,5
NONHSAT113185.2,chr6,53564058,53617009,-,NONHSAG043962.2,3
NONHSAT113186.2,chr6,53564258,53617009,-,NONHSAG043962.2,4
NONHSAT113189.2,chr6,53569281,53573265,-,NONHSAG043962.2,2
NONHSAT113190.2,chr6,53623494,53624716,+,NONHSAG043963.2,2
NONHSAT113194.2,chr6,53732779,53793690,-,NONHSAG095162.2,11
NONHSAT113198.2,chr6,53746426,53793591,-,NONHSAG095162.2,2
NONHSAT113199.2,chr6,53746901,53793707,-,NONHSAG095162.2,2
NONHSAT113200.2,chr6,53790875,53794274,-,NONHSAG095162.2,3
NONHSAT113229.2,chr6,54943167,54945099,+,NONHSAG043983.2,1
NONHSAT113238.2,chr6,56090810,56091688,-,NONHSAG113267.1,2
NONHSAT113248.2,chr6,56843986,56864338,+,NONHSAG043997.3,4
NONHSAT113252.2,chr6,56892754,56900621,-,NONHSAG043999.2,2
NONHSAT113254.2,chr6,56952841,56953574,-,NONHSAG044000.2,1
NONHSAT113257.2,chr6,57059298,57068377,+,NONHSAG044003.2,3
NONHSAT113306.2,chr6,57907999,57913858,-,NONHSAG044022.3,2
NONHSAT113307.2,chr6,57912713,57961360,-,NONHSAG044022.3,7
NONHSAT113309.2,chr6,57919782,57961360,-,NONHSAG044022.3,7
NONHSAT113311.2,chr6,57946072,57949847,-,NONHSAG044022.3,3
NONHSAT113312.2,chr6,57946074,57961501,-,NONHSAG044022.3,5
NONHSAT113313.2,chr6,57946074,57961501,-,NONHSAG044022.3,5
NONHSAT113314.2,chr6,57946105,57961439,-,NONHSAG044022.3,6
NONHSAT113315.2,chr6,57946078,57961395,-,NONHSAG044022.3,6
NONHSAT113317.2,chr6,57941474,57961395,-,NONHSAG044022.3,4
NONHSAT113318.2,chr6,57946122,57949139,-,NONHSAG044022.3,2
NONHSAT113319.2,chr6,57948809,57961376,-,NONHSAG044022.3,4
NONHSAT113342.2,chr6,63395007,63397106,-,NONHSAG044033.2,5
NONHSAT113343.2,chr6,63440766,63443580,+,NONHSAG044034.2,3
NONHSAT113344.2,chr6,63445747,63456029,+,NONHSAG044035.2,2
NONHSAT113346.2,chr6,63484731,63485724,+,NONHSAG044037.2,2
NONHSAT113350.2,chr6,63571005,63572408,-,NONHSAG044041.2,1
NONHSAT113378.2,chr6,66093431,66094909,-,NONHSAG044058.2,1
NONHSAT113423.2,chr6,69705287,69706160,-,NONHSAG044076.2,1
NONHSAT113450.2,chr6,70512115,70515953,+,NONHSAG044089.2,1
NONHSAT113455.2,chr6,70693839,70694619,+,NONHSAG044093.2,1
NONHSAT113456.2,chr6,70734503,70734962,+,NONHSAG044094.2,1
NONHSAT113470.2,chr6,71253684,71328063,-,NONHSAG094269.2,4
NONHSAT113474.2,chr6,71295173,71417436,-,NONHSAG094269.2,7
NONHSAT113481.2,chr6,71306464,71308950,+,NONHSAG044100.2,1
NONHSAT113489.2,chr6,71325153,71348995,+,NONHSAG044101.2,8
NONHSAT113492.2,chr6,71343501,71346206,-,NONHSAG094269.2,2
NONHSAT113497.2,chr6,71373502,71420269,-,NONHSAG094269.2,13
